,origin,destination,length
0,132.0,1.0,19303.0
1,132.0,2.0,11663.4
2,132.0,3.0,2991.4
3,132.0,4.0,1619.8
4,132.0,5.0,5980.0
5,132.0,6.0,4886.0
6,132.0,7.0,2102.6
7,132.0,8.0,2538.6
8,132.0,9.0,3611.6000000000004
9,132.0,10.0,4814.2
10,132.0,11.0,2771.0
11,132.0,12.0,1928.0
12,132.0,13.0,1779.8
13,132.0,14.0,2978.0
14,132.0,15.0,7445.6
15,132.0,16.0,3418.6000000000004
16,132.0,17.0,1967.2
17,132.0,18.0,2858.8
18,132.0,19.0,4416.2
19,132.0,20.0,3066.4
20,132.0,21.0,2490.0
21,132.0,22.0,2589.0
22,132.0,23.0,8089.0
23,132.0,24.0,1708.2
24,132.0,25.0,1656.4
25,132.0,26.0,1553.0
26,132.0,27.0,8493.4
27,132.0,28.0,2766.6000000000004
28,132.0,29.0,2004.0
29,132.0,30.0,4015.4
30,132.0,31.0,2531.8
31,132.0,32.0,2647.4
32,132.0,33.0,1866.6
33,132.0,34.0,2138.2
34,132.0,35.0,2803.2
35,132.0,36.0,3023.4
36,132.0,37.0,2667.4
37,132.0,38.0,5548.2
38,132.0,39.0,3362.2
39,132.0,40.0,1534.8
40,132.0,41.0,2189.4
41,132.0,42.0,2324.0
42,132.0,43.0,2234.3999999999996
43,132.0,44.0,7547.0
44,132.0,45.0,1580.6
45,132.0,46.0,7015.4
46,132.0,47.0,3108.4
47,132.0,48.0,1837.4
48,132.0,49.0,1728.6
49,132.0,50.0,2013.8000000000002
50,132.0,51.0,3989.4
51,132.0,52.0,1515.2
52,132.0,53.0,5004.6
53,132.0,54.0,1542.1999999999998
54,132.0,55.0,2277.0
55,132.0,56.0,2420.6000000000004
56,132.0,57.0,2420.6000000000004
57,132.0,58.0,4243.4
58,132.0,59.0,2603.4
59,132.0,60.0,2250.4
60,132.0,61.0,1953.2
61,132.0,62.0,1953.2
62,132.0,63.0,2644.4
63,132.0,64.0,3232.6000000000004
64,132.0,65.0,1594.0
65,132.0,66.0,1777.2
66,132.0,67.0,3191.0
67,132.0,68.0,1877.6000000000001
68,132.0,69.0,2340.4
69,132.0,70.0,4654.6
70,132.0,71.0,3242.0
71,132.0,72.0,2028.2
72,132.0,73.0,3731.6000000000004
73,132.0,74.0,2420.6
74,132.0,75.0,2420.6
75,132.0,76.0,3700.2
76,132.0,77.0,3179.2
77,132.0,78.0,2538.4
78,132.0,79.0,1391.8
79,132.0,80.0,3056.4
80,132.0,81.0,3805.4
81,132.0,82.0,1620.6000000000001
82,132.0,83.0,1434.8000000000002
83,132.0,84.0,5135.0
84,132.0,85.0,1462.0
85,132.0,86.0,5766.2
86,132.0,87.0,1611.0
87,132.0,88.0,1611.0
88,132.0,89.0,1051.0
89,132.0,90.0,1907.0
90,132.0,91.0,3011.0
91,132.0,92.0,3143.6000000000004
92,132.0,93.0,3711.6000000000004
93,132.0,94.0,2775.4
94,132.0,95.0,2638.6000000000004
95,132.0,96.0,3316.4
96,132.0,97.0,1718.2000000000003
97,132.0,98.0,5014.6
98,132.0,99.0,10113.0
99,132.0,100.0,2021.4
100,132.0,101.0,5692.2
101,132.0,102.0,3435.0
102,132.0,103.0,2966.0
103,132.0,104.0,2966.0
104,132.0,105.0,2966.0
105,132.0,106.0,1326.8
106,132.0,107.0,1950.4
107,132.0,108.0,2735.0
108,132.0,109.0,5082.0
109,132.0,110.0,5919.0
110,132.0,111.0,1677.0
111,132.0,112.0,2661.6
112,132.0,113.0,1654.8
113,132.0,114.0,1654.8
114,132.0,115.0,4403.0
115,132.0,116.0,1813.6000000000001
116,132.0,117.0,3826.4
117,132.0,118.0,7335.0
118,132.0,119.0,1700.3999999999999
119,132.0,120.0,1590.8000000000002
120,132.0,121.0,4840.6
121,132.0,122.0,3510.2
122,132.0,123.0,1802.0
123,132.0,124.0,4380.4
124,132.0,125.0,1785.6
125,132.0,126.0,3812.4
126,132.0,127.0,1709.8
127,132.0,128.0,1524.6
128,132.0,129.0,2970.6000000000004
129,132.0,130.0,3603.0
130,132.0,131.0,3741.6000000000004
131,132.0,132.0,3337.4
132,132.0,133.0,0.0
133,132.0,134.0,2945.0
134,132.0,135.0,4792.6
135,132.0,136.0,3035.4
136,132.0,137.0,2135.0
137,132.0,138.0,5191.6
138,132.0,139.0,4012.2
139,132.0,140.0,2058.0
140,132.0,141.0,2058.0
141,132.0,142.0,1604.0
142,132.0,143.0,1588.0
143,132.0,144.0,1682.8
144,132.0,145.0,2003.0
145,132.0,146.0,1475.4
146,132.0,147.0,2219.4
147,132.0,148.0,1904.4
148,132.0,149.0,2176.0
149,132.0,150.0,1751.8
150,132.0,151.0,1490.2
151,132.0,152.0,1537.4
152,132.0,153.0,1888.8000000000002
153,132.0,154.0,8086.0
154,132.0,155.0,3655.0
155,132.0,156.0,9024.0
156,132.0,157.0,1610.6
157,132.0,158.0,1821.2
158,132.0,159.0,3138.4
159,132.0,160.0,3540.6000000000004
160,132.0,161.0,1598.2
161,132.0,162.0,2146.6000000000004
162,132.0,163.0,2018.4
163,132.0,164.0,2050.2000000000003
164,132.0,165.0,1690.0
165,132.0,166.0,1991.2
166,132.0,167.0,2052.0
167,132.0,168.0,1770.6
168,132.0,169.0,2644.4
169,132.0,170.0,2185.0
170,132.0,171.0,3241.6000000000004
171,132.0,172.0,5787.0
172,132.0,173.0,1945.6000000000001
173,132.0,174.0,1966.8
174,132.0,175.0,4857.6
175,132.0,176.0,5613.0
176,132.0,177.0,1266.0
177,132.0,178.0,1266.0
178,132.0,179.0,2277.6
179,132.0,180.0,2513.4
180,132.0,181.0,1131.0
181,132.0,182.0,3268.4
182,132.0,183.0,3355.4
183,132.0,184.0,6030.4
184,132.0,185.0,2472.8
185,132.0,186.0,1993.0
186,132.0,187.0,6917.0
187,132.0,188.0,2011.0
188,132.0,189.0,1335.2
189,132.0,190.0,1721.0
190,132.0,191.0,3695.2
191,132.0,192.0,3143.6000000000004
192,132.0,193.0,1936.2
193,132.0,194.0,2800.6
194,132.0,195.0,1594.2
195,132.0,196.0,2593.6000000000004
196,132.0,197.0,2923.0
197,132.0,198.0,2844.4
198,132.0,199.0,5261.4
199,132.0,200.0,3854.2
200,132.0,201.0,4291.4
201,132.0,202.0,2098.4
202,132.0,203.0,4102.2
203,132.0,204.0,5852.0
204,132.0,205.0,3727.2
205,132.0,206.0,3990.0
206,132.0,207.0,3258.4
207,132.0,208.0,6078.4
208,132.0,209.0,1851.6
209,132.0,210.0,1768.0
210,132.0,211.0,1627.8
211,132.0,212.0,1880.4
212,132.0,213.0,3105.4
213,132.0,214.0,5613.0
214,132.0,215.0,4609.0
215,132.0,216.0,1883.6
216,132.0,217.0,1751.6
217,132.0,218.0,4274.2
218,132.0,219.0,4274.2
219,132.0,220.0,2444.0
220,132.0,221.0,4004.0
221,132.0,222.0,4411.2
222,132.0,223.0,1742.6
223,132.0,224.0,1560.2
224,132.0,225.0,2179.2
225,132.0,226.0,2147.4
226,132.0,227.0,1982.0
227,132.0,228.0,1900.0
228,132.0,229.0,1620.6000000000001
229,132.0,230.0,1984.2
230,132.0,231.0,1689.8
231,132.0,232.0,1688.0
232,132.0,233.0,2146.6000000000004
233,132.0,234.0,1691.0
234,132.0,235.0,2814.4
235,132.0,236.0,1727.0
236,132.0,237.0,1774.0
237,132.0,238.0,1796.3999999999999
238,132.0,239.0,1612.3999999999999
239,132.0,240.0,3813.2
240,132.0,241.0,1597.1999999999998
241,132.0,242.0,1771.1999999999998
242,132.0,243.0,1488.0
243,132.0,244.0,1644.0
244,132.0,245.0,1691.1999999999998
245,132.0,246.0,1977.2
246,132.0,247.0,1578.4
247,132.0,248.0,1451.4
248,132.0,249.0,1465.4
249,132.0,250.0,2835.4
250,132.0,251.0,1577.8
251,132.0,252.0,1694.6
252,132.0,253.0,1820.1999999999998
253,132.0,254.0,1735.8
254,132.0,255.0,2357.8
255,132.0,256.0,2137.8
256,132.0,257.0,1243.0
257,132.0,258.0,1582.0
258,132.0,259.0,1827.0
259,132.0,260.0,1740.6
260,132.0,261.0,1670.2
261,132.0,262.0,1673.2000000000003
262,132.0,263.0,2044.2000000000003
