origin,destination,number_of_appearance
479,495,4
522,454,96
3593,3603,60
394,293,38
309,3002,4
312,309,4
394,312,3
3432,3403,519
3263,3432,859
394,3263,23
3062,3054,48
394,433,4
394,223,14
3324,3412,20
3432,3324,90
401,531,4
394,401,4
3674,391,5
410,307,7
394,410,12
282,2005,5
394,282,2
3397,3396,46
3401,3397,44
3432,3401,122
3518,3629,58
3505,3518,39
295,296,5
394,295,1
394,350,1
3637,399,30
3632,479,3
394,3632,2
3398,3308,19
3432,3398,19
3401,3394,38
266,3142,1
394,266,1
336,369,5
394,336,5
326,402,1
394,326,6
323,262,22
533,523,59
465,533,163
3324,3399,56
326,325,3
349,3106,3
394,349,2
394,380,3
394,476,1
3122,3125,1
394,3122,1
3615,3128,63
349,356,2
3314,3350,71
394,3686,1
3235,3466,4
519,3235,3
394,454,2
536,518,1
394,536,1
3572,3522,54
3313,3297,58
3432,3313,90
3576,3574,52
3313,3576,18
3313,3300,14
3615,3560,34
3669,3342,56
3401,3669,40
331,279,2
394,331,1
3260,3467,2
394,3260,1
3572,3616,96
3067,3052,2
432,3067,9
394,432,1
441,3243,2
393,441,3
394,393,1
326,285,1
3284,3294,74
3485,3438,10
326,3485,5
434,509,1
394,434,1
3438,3140,47
3438,3148,2
3603,3593,116
3603,3524,1
3593,3572,35
3486,3412,32
3603,3517,5
173,495,35
3625,3142,2
3603,3625,1
3603,3616,6
274,3429,48
293,432,44
503,325,10
3476,3108,33
364,396,27
472,476,37
281,3356,6
3559,3130,12
3603,3559,2
151,356,8
285,3686,14
3459,454,66
533,362,39
519,167,27
3517,3522,25
364,3574,13
3603,3560,1
387,306,25
443,282,5
3113,443,3
3065,3052,35
2022,3243,3
3603,2022,1
3592,3140,2
3603,3592,1
3605,3603,11
3513,3605,2
3524,3513,8
195,3002,30
3513,3516,5
3556,3615,1
3513,3556,1
3523,3522,1
3524,3523,1
3605,3559,3
410,394,2
311,410,2
529,495,14
3155,3142,43
311,317,3
490,498,20
490,523,10
498,325,8
490,472,5
3155,3131,16
3615,3125,75
490,3686,4
490,533,15
3459,518,8
490,3641,6
3459,3243,52
3135,3140,7
3155,3135,7
545,394,1
2008,3002,1
3041,3050,20
3242,3386,1
2009,350,1
243,399,4
3134,3142,17
545,325,1
3090,3106,22
331,291,2
427,331,1
2008,3686,1
465,3466,30
3346,3297,6
3418,3346,6
376,351,1
304,376,1
385,3243,15
522,385,15
2008,309,1
2009,307,1
223,509,6
3147,3148,26
3002,146,38
400,394,2
146,400,2
3002,195,52
3002,2008,7
3002,319,13
363,304,22
3002,363,22
195,360,4
391,3386,5
3002,417,8
3489,355,2
195,3489,4
295,350,1
330,295,1
146,330,1
391,3308,8
391,3394,2
223,402,5
285,325,5
3002,3108,1
351,291,3
195,351,3
3002,3686,1
3182,3342,1
3002,3182,1
195,306,1
195,259,15
3042,3052,32
3002,309,1
3489,307,3
3403,3669,6
3429,274,10
317,394,1
3050,317,2
3179,3065,12
3054,3179,16
3637,467,3
3048,3637,17
3050,3048,28
3429,3412,5
3637,3429,1
289,2005,1
3241,289,4
3241,3584,7
3048,437,5
3382,3386,21
289,364,3
505,492,209
3054,3069,2
289,399,2
3409,3308,32
3459,3142,17
3054,3074,1
3048,396,2
420,262,1
3241,420,1
3306,3399,1
3048,3306,4
3061,3108,1
3054,3061,1
504,476,6
3054,3453,2
3459,3131,11
3241,3574,1
373,282,1
3054,373,1
3054,3087,1
3459,3140,5
467,3412,2
3403,3396,2
433,394,32
152,304,11
152,3002,25
324,3412,17
3093,2005,13
3689,3531,2
3314,3295,2
533,267,132
3350,3341,18
3689,3551,4
402,325,20
3119,3108,8
533,540,12
3289,3131,4
3350,3289,6
311,350,38
380,3686,21
3536,3504,8
460,282,25
3093,460,25
3350,3294,2
3145,3146,5
3285,3145,21
3289,3140,5
3350,3288,2
3411,3409,65
301,394,10
307,301,10
3412,274,14
319,3002,11
3412,467,21
3412,3054,1
3412,3440,1
258,2005,5
274,258,1
3412,3486,6
307,296,9
307,350,14
3455,399,1
3412,3455,1
3669,3394,16
3412,3669,1
3412,83,4
3412,323,2
307,317,20
416,262,5
3412,416,1
3412,3399,1
3410,325,1
505,472,8
3065,3069,13
383,3686,14
369,383,14
498,167,7
505,498,7
3412,3574,1
3347,3342,7
3412,3347,1
316,306,14
307,3632,6
533,3466,9
445,394,1
322,445,2
316,319,29
360,3002,2
3440,3410,1
391,2005,4
316,3489,1
391,3674,3
391,414,1
3073,3074,2
391,3073,1
391,262,1
3403,3399,17
3105,3108,1
322,3105,1
3440,3409,4
391,3347,5
360,306,6
282,394,1
2005,282,8
313,3062,1
2005,313,1
419,324,1
2005,419,6
421,467,2
2005,421,2
419,391,1
282,3073,9
3648,399,2
343,3648,9
2005,343,11
241,3429,2
419,241,2
3648,323,1
3648,418,4
443,317,2
282,3113,7
419,262,1
3107,3108,2
282,3107,2
343,3637,1
3115,3125,1
282,3115,1
2001,3674,5
3648,2001,5
3361,3297,1
419,3361,1
343,3574,1
3584,364,14
3584,3423,2
3069,3071,35
3064,3062,24
3064,3054,3
3062,3411,2
297,402,6
3071,262,18
297,325,7
3086,3106,3
3073,282,5
387,3461,9
3078,2005,1
3068,3074,1
3456,3106,2
3069,3456,2
3073,3088,2
3429,262,6
3625,3560,5
3556,3625,5
3126,3556,5
3386,3382,72
3396,398,1
3386,3403,5
3055,3054,3
364,3055,3
3329,3411,1
3386,3329,1
143,391,3
3386,143,5
322,2005,1
143,322,1
3386,3308,1
3396,3394,1
3386,3335,4
3396,3398,3
3386,83,1
3398,3399,1
293,325,5
3396,167,1
3386,3576,1
3396,3342,1
3629,3518,17
3629,3533,87
3629,3505,19
3531,3383,1
3615,3126,271
3531,3534,4
450,495,6
3622,3490,2
3629,3622,3
3244,438,10
369,3244,71
3431,476,7
3345,3431,35
3295,3345,9
3341,3350,3
3531,3541,1
3629,3542,1
3244,3263,59
3622,3499,2
3363,3294,2
3629,3363,1
152,309,13
3518,3534,1
3509,3551,26
3518,3649,1
3509,3345,1
3529,3622,1
305,3243,2
3509,3363,1
3572,3603,28
3168,3295,16
3283,3314,2
3168,3283,2
3168,3629,1
3168,3521,1
3143,3155,2
3400,3551,2
3282,3400,2
3375,3131,2
3143,3375,2
3164,3356,4
3168,3164,2
3293,3350,3
3168,3293,1
3553,3541,3
3370,3140,8
3143,3370,1
3168,3148,4
403,394,2
3435,403,2
417,3002,1
330,417,2
355,330,1
296,307,11
376,360,1
355,376,2
3435,350,3
403,432,2
324,262,23
3463,325,1
3435,3463,1
295,3106,2
355,295,1
355,79,5
376,259,9
486,540,5
308,279,3
3435,2010,1
355,309,2
350,151,65
350,394,1
295,259,7
350,295,5
350,307,57
311,309,6
3384,3669,22
350,317,1
350,3083,2
350,3263,1
350,325,1
350,349,1
350,540,1
350,3431,1
3544,3574,8
350,331,1
307,2010,4
350,282,1
350,3632,1
3085,3088,3
350,3085,2
411,3485,5
356,411,7
350,356,1
399,324,24
366,394,1
399,366,1
399,364,23
399,467,9
399,3054,1
399,396,3
399,3232,1
399,258,1
399,3584,6
399,3429,2
399,323,1
399,3648,1
399,262,1
399,3637,4
399,3106,1
399,3574,1
313,282,1
399,313,1
3057,3052,2
3056,3057,1
399,3056,1
495,479,13
495,173,77
495,450,30
495,529,28
3338,3495,12
3318,3338,10
495,523,1
495,478,2
495,522,12
529,533,3
495,3233,1
495,3356,2
495,3686,1
495,3466,1
495,447,1
533,167,5
316,376,8
513,3171,2
495,513,2
495,3684,1
3308,391,5
3308,3409,54
3308,3411,1
3308,83,10
3308,3386,1
3308,3394,1
239,262,1
3308,239,1
3308,3373,1
398,325,2
3308,398,1
3298,3335,1
3308,3298,1
3308,3382,3
3308,3429,2
143,476,1
3308,143,2
3308,3576,1
3308,3347,1
3408,467,1
3308,3408,1
3394,398,2
3398,3403,3
3394,3398,6
3408,3411,1
3394,3408,1
3394,406,2
3394,3335,2
3669,3396,1
3394,3669,2
3394,3308,1
3394,3382,13
3393,414,1
3394,83,1
3413,3574,1
3394,3413,1
406,391,1
304,3002,5
3584,3241,3
3364,3396,4
3418,3364,3
3584,399,3
3242,3308,4
497,325,6
3584,396,3
3584,3297,3
3584,3574,7
3584,282,1
323,3412,1
323,2005,1
323,243,1
323,3308,1
390,3074,1
3100,3108,3
239,3100,3
323,239,1
390,274,2
407,391,3
414,407,3
343,2005,2
418,343,3
418,3074,1
418,262,1
343,3106,2
3080,3087,2
313,3080,2
418,313,1
343,3065,1
3142,3155,77
3142,3134,67
3688,394,2
3142,3688,4
3142,3603,1
3142,3459,26
3449,2005,8
3476,3449,6
3504,3629,1
3142,3504,2
3504,3518,1
3134,3143,1
3142,3338,2
3142,3632,1
3688,325,9
3142,476,1
3142,228,1
3142,3141,3
3376,3356,6
3142,3376,2
3688,356,2
3142,454,2
3142,447,1
441,518,1
3142,441,1
3129,3560,1
3142,3129,1
3125,282,5
3688,2003,2
3142,3243,1
3671,3294,3
3142,3671,1
3142,3370,1
3131,3177,6
3142,3131,2
533,509,8
3142,3140,1
3141,3148,4
293,394,12
3517,3603,2
3233,495,2
537,325,7
167,537,4
3233,3466,2
151,3467,5
3431,394,4
3424,3345,8
3551,3424,8
3559,3605,10
3130,3559,29
3130,3524,5
3490,3534,27
3551,3383,4
3432,3429,8
3490,3629,2
3490,3628,22
3296,3168,2
3490,3296,2
3431,537,5
3509,3541,8
3551,3509,4
3458,447,6
3559,3560,20
3551,3499,2
3338,3294,2
3490,3338,2
432,3263,128
317,295,3
3128,3524,9
432,223,26
3060,3054,1
3067,3060,1
432,307,19
432,282,2
438,355,1
432,350,1
432,402,1
445,326,2
432,380,2
229,369,2
432,229,2
3632,507,1
301,356,1
317,301,1
432,3686,1
445,167,1
295,308,2
432,3467,1
428,3461,1
432,428,1
168,509,5
432,168,1
432,247,1
432,312,1
3074,3054,1
3074,3071,16
285,223,29
322,391,1
3081,322,1
3083,3081,2
3083,2005,1
3074,3068,7
3074,3069,6
239,323,1
3071,239,1
3071,418,2
3074,3042,1
3069,396,3
297,3263,4
3456,3130,1
3086,3456,1
3081,356,1
504,518,2
3221,3560,1
3430,3221,1
3086,3467,1
3083,282,1
3179,3052,1
3074,3179,1
3076,307,1
3074,3076,1
297,168,3
345,380,4
285,345,4
3083,3077,1
469,495,11
83,3412,2
396,364,9
3242,3394,2
304,534,4
437,3050,2
396,437,2
83,399,2
83,262,2
3584,3052,3
402,394,1
402,472,36
402,223,7
402,285,14
3453,3069,15
324,399,2
237,432,2
402,237,1
402,540,1
410,356,6
402,410,1
402,3686,1
465,477,3
472,167,2
402,3260,1
402,509,1
402,3684,1
490,167,4
262,324,52
262,323,9
262,3062,12
262,3429,22
262,3054,1
262,3232,2
421,2005,2
262,421,3
3061,3064,4
262,3061,5
262,416,8
416,399,1
3303,3308,2
262,3303,1
262,83,7
262,3648,1
3061,3074,1
416,3399,1
270,343,1
262,270,1
416,3637,1
353,3297,1
262,353,1
262,3574,1
262,3342,1
244,3052,1
262,244,1
421,313,1
523,492,33
523,533,80
523,490,31
523,495,1
523,519,16
533,402,1
533,503,1
523,448,1
523,517,1
533,454,2
523,3641,1
3688,3243,6
533,3688,1
3464,3438,1
523,3464,1
3399,3403,46
3399,3054,1
3420,3412,1
3399,3420,1
3399,3396,1
3429,399,1
3384,3308,1
3381,3384,1
3399,3381,1
3399,3394,1
3373,3382,10
3399,3663,2
3399,416,1
3399,3297,1
3399,3574,1
3399,3669,1
3399,3057,1
325,402,23
325,3632,2
325,3263,39
325,3459,29
325,285,4
325,309,3
379,490,34
325,379,12
325,297,14
325,492,12
325,472,30
345,223,4
325,345,4
325,497,2
325,350,2
3324,399,1
3319,3663,11
3432,3319,11
325,265,4
325,476,1
325,293,1
325,3686,1
3680,3466,2
325,3680,1
325,167,1
325,491,1
351,259,3
325,351,3
357,3467,2
325,357,1
325,2003,1
325,307,1
325,509,1
325,3684,1
3106,3090,19
3106,3113,40
3108,3476,24
3106,3050,1
3106,391,1
3106,3449,2
3106,3086,4
3070,3069,5
3106,3070,6
3106,3606,8
3085,295,2
3106,3085,1
3102,350,2
3106,3102,3
3102,323,1
3070,3071,1
3100,531,1
3108,3100,1
3108,3125,1
3106,356,1
3615,3130,2
3489,279,1
3106,3489,1
504,3467,3
3106,443,1
3106,3616,1
3059,3052,1
3430,3059,1
3106,3430,1
3108,79,1
3106,3088,1
380,394,2
380,3263,30
2001,2005,5
3674,2001,4
380,3660,12
79,355,3
380,293,2
483,325,5
380,483,2
492,472,4
380,3641,3
3684,509,3
380,3684,2
3541,3531,2
3547,3541,1
3547,3490,2
3159,3131,6
3314,3294,2
3314,3289,3
3314,3148,2
3533,3649,7
236,394,4
3244,236,1
328,3002,1
321,2001,1
257,355,1
369,483,1
3474,151,1
3244,382,1
3637,258,2
3486,3409,1
258,262,1
3486,3342,1
3409,3411,1
3558,399,2
3581,3558,1
3423,3581,2
476,492,28
174,394,1
540,174,1
476,472,36
476,379,22
410,350,1
540,410,2
3680,495,2
476,3680,1
3431,3459,13
476,3431,13
3688,3142,4
476,3688,2
540,237,1
540,486,7
540,402,1
540,262,3
476,533,1
540,325,1
476,167,3
540,3686,1
476,3235,1
527,454,2
476,527,2
476,526,1
540,474,2
476,448,1
540,357,1
540,2003,1
3641,509,2
474,3641,1
540,3684,1
3522,3524,2
440,3459,30
440,3688,2
228,454,2
517,485,1
3233,173,1
511,394,2
3131,511,2
3131,3155,41
3376,3459,24
3375,3143,2
3131,3375,4
3141,3142,3
3131,325,2
3289,3350,2
3131,3289,2
3502,3509,2
3131,3466,2
3131,454,4
3141,3243,2
3375,3370,4
3141,3140,2
3356,281,6
3356,3165,2
3356,495,2
3376,3142,2
3356,3376,2
3356,3131,4
173,3466,2
500,522,4
3509,3494,2
3509,3499,5
3158,468,1
3356,3158,1
3356,3292,2
3378,3370,3
3356,3378,2
3152,3140,2
3356,3152,2
3356,3150,2
151,3427,26
3179,3054,1
151,2005,1
151,3474,1
151,3686,1
3075,282,1
3435,307,1
293,380,1
3124,394,1
3125,3124,1
3125,3119,25
3125,3108,1
3125,3606,4
3125,3128,1
3121,356,1
3125,3121,1
3127,3559,1
3620,3130,2
3125,3620,2
3128,3615,67
3128,3125,1
350,311,89
356,394,1
291,319,1
291,282,2
291,296,1
441,3142,1
400,393,2
356,400,4
356,317,1
356,3263,1
356,325,1
356,349,1
400,476,1
350,531,1
411,454,2
400,167,1
291,279,1
291,307,1
291,259,2
291,3632,1
3350,3314,93
3350,3689,3
3328,3295,1
3350,3328,7
3307,495,1
3350,3307,1
3328,3379,5
3328,3345,1
3350,3509,1
3293,3285,3
3350,3293,3
3541,3533,20
3541,3518,7
3541,3534,2
3541,3490,2
3510,3504,4
3649,3510,4
3553,3379,1
3541,3553,1
3066,3054,1
312,350,2
518,312,2
455,3142,1
167,533,24
455,3459,1
3431,485,3
3431,498,2
405,223,18
3686,327,2
247,3263,37
3686,247,19
3686,2008,1
3686,3002,1
3686,490,18
3686,369,28
3686,380,5
448,495,2
3659,448,1
3686,402,1
3686,523,1
3686,259,1
491,540,1
3686,491,1
3686,151,1
3686,356,1
3686,3641,1
3686,3467,1
3686,309,2
3659,509,1
522,3466,6
3466,2021,9
3466,522,27
3466,465,39
3466,520,35
3466,492,26
3466,519,23
3466,495,1
3466,3688,2
3466,476,1
3466,3233,1
3466,500,2
3466,281,2
3466,447,1
3235,167,1
3466,3235,1
3466,3641,1
3466,477,1
454,522,182
454,236,4
454,3459,164
454,3142,2
236,432,6
3680,523,2
454,3680,4
454,325,2
454,228,2
454,3141,6
454,410,2
454,3466,2
3680,485,2
454,518,2
454,3243,2
3360,3171,4
454,3360,4
454,3372,2
447,499,18
447,495,1
447,468,9
447,533,3
447,3233,1
447,3466,1
3145,3294,3
3168,3145,1
362,519,26
267,490,31
533,495,1
362,523,1
485,540,1
533,447,1
485,167,1
362,3688,1
446,509,1
267,446,1
3536,3518,8
3542,3533,7
3542,3629,1
3536,3551,2
3538,3292,1
3536,3538,1
3542,3146,1
3494,3509,3
3505,3533,11
3504,3547,4
519,485,2
167,519,106
167,3459,46
533,490,17
167,3680,3
518,418,1
167,3688,3
518,236,1
537,402,2
167,540,1
167,492,4
167,476,1
518,410,1
518,454,2
3680,447,1
167,485,1
167,474,1
518,2003,1
3688,3140,1
3418,3241,2
3423,3418,7
3423,3637,2
3581,3052,1
3528,3517,45
3528,3572,38
3528,3106,1
3593,3560,2
3593,3559,1
3297,274,13
3297,3403,9
3297,3418,26
3364,3412,1
3297,3364,1
3365,258,2
3297,3365,2
3576,3637,11
3297,3576,13
3297,3397,1
3297,399,1
3297,3303,1
3297,3669,2
3067,3074,1
3297,3067,1
3371,3335,3
3297,3371,3
353,262,1
3297,353,1
3297,3399,1
3297,3106,1
3297,3300,1
3576,3052,1
3641,394,1
3641,490,31
3641,492,11
3641,495,1
3641,523,1
491,325,1
3641,446,3
3641,466,2
474,540,1
3641,3686,1
3641,3466,1
3641,3467,1
466,380,1
3544,3637,20
3574,3544,20
3574,467,5
3574,3241,1
3574,3412,1
3574,3418,4
3581,3584,8
3574,3581,12
3574,3364,1
3574,83,17
3574,3558,10
3574,3308,1
3558,364,8
3574,3578,2
3558,262,1
3574,3399,1
3581,3423,3
3581,3297,1
3574,3342,1
3574,3052,1
3300,3397,1
3300,3297,1
3625,3615,28
3560,3625,44
3560,3593,2
3625,3126,12
3560,3654,16
3560,3555,3
3560,3559,6
3560,3106,1
3625,3141,2
3625,3125,1
3593,3616,1
3560,2022,1
3560,3561,1
3505,3542,1
3342,3382,20
3342,3411,1
3347,406,1
3342,3347,1
3342,3396,1
3635,495,1
3342,398,3
3342,3335,4
3342,3399,3
3342,3398,2
3340,3297,1
3533,3490,6
3130,3125,1
3688,454,2
305,3688,2
3155,305,2
3559,3593,1
3130,3555,1
3155,3243,3
3155,3294,1
3593,2022,1
306,316,80
150,394,1
306,150,1
306,319,42
306,3002,1
279,355,1
331,350,1
279,331,3
410,317,1
279,410,1
279,325,1
351,3106,1
351,3342,1
319,3461,1
331,307,1
3467,403,2
2010,268,22
3467,151,22
3467,3263,14
2010,355,1
2010,350,2
377,399,1
2010,3308,1
3467,3427,1
3244,285,4
3474,3244,4
3467,483,1
3474,3686,1
3474,3641,1
2010,307,1
282,3119,1
282,467,2
282,3062,1
3648,324,1
282,3648,3
282,3429,1
282,3093,3
3648,262,1
282,325,1
282,291,1
282,3574,1
282,377,1
282,3085,1
3616,3666,21
3616,3603,1
3616,3572,63
3522,3517,16
3616,3106,1
3616,3605,2
3602,3560,1
3616,3602,2
3602,3592,1
433,223,18
433,3263,16
504,391,1
433,295,1
433,350,1
433,307,3
2003,3142,1
2003,325,9
2003,476,1
326,293,1
433,326,3
3632,349,1
433,3686,1
507,3466,1
2003,507,1
536,454,2
2003,536,2
504,3660,1
2003,518,1
2003,491,1
326,306,1
2012,3243,1
2003,2012,1
2003,509,1
433,345,1
3060,3065,7
3052,3060,7
397,3429,1
3052,397,1
3052,3042,9
3052,289,2
3052,3584,3
3064,3074,1
3052,3064,3
244,262,1
3052,244,1
3052,3086,1
3052,3453,1
3052,3088,1
3593,3524,1
3647,3106,1
3123,3647,1
3129,3130,1
3429,3054,1
467,3411,1
3243,3155,7
3243,305,23
3243,3688,9
3556,3603,1
3243,3556,1
3243,3459,103
385,522,36
3243,385,36
3243,3142,1
3243,3495,2
3688,432,1
488,523,1
3243,488,1
3688,476,1
3688,228,1
3243,3141,3
3688,3466,1
3688,518,1
3243,3559,1
3243,3671,1
3447,3370,1
3243,3447,1
3243,3177,2
3243,3140,1
173,447,1
309,146,1
309,2008,1
3461,387,19
152,355,1
152,350,4
309,319,2
223,325,2
3119,3125,2
486,3641,2
492,486,2
3461,306,1
3461,259,1
152,307,2
307,534,1
295,319,1
307,295,5
3453,3083,1
307,3453,1
307,326,1
307,3435,1
307,311,1
307,3088,1
295,330,1
307,356,1
382,369,1
497,168,1
382,247,1
3294,3284,88
3294,3345,19
3327,3379,25
3294,3327,25
3294,3350,2
3284,3155,17
3292,3629,1
3336,3521,1
3294,3336,1
3294,3165,3
3292,3534,15
3294,3551,2
3431,236,1
3431,540,1
485,533,1
3431,492,4
3431,167,1
3294,3318,2
3292,3164,2
3431,410,1
3345,3553,1
3539,3536,1
3292,3539,1
3431,472,1
3431,2003,1
3284,3671,1
3294,3170,2
3284,3370,1
3294,3288,1
3370,3155,27
3293,3314,6
3144,3293,8
3146,3144,10
3146,3362,2
3370,3142,1
3671,3551,2
3370,3356,4
3144,3553,1
3146,3165,2
3370,3243,1
3144,3294,1
3145,3285,2
3146,3145,2
3370,3148,1
3171,3226,38
3285,3295,19
3170,3142,2
3226,3131,4
3226,3370,2
3145,3148,2
3345,3294,2
509,3660,61
3659,259,2
509,3659,7
3659,2008,1
3659,3002,1
3659,327,1
453,492,16
509,453,17
509,223,3
509,448,1
509,402,1
334,325,1
509,334,2
3659,380,2
494,476,3
509,494,2
509,3686,1
334,3466,1
509,435,1
453,3641,1
3658,497,1
509,3658,1
509,3684,1
3165,3378,1
247,236,2
3684,2008,1
3684,3002,1
3684,490,20
380,369,47
3684,3660,23
3684,495,1
3684,285,6
3684,402,1
3684,523,1
3684,483,1
3684,494,1
247,3260,1
3684,3686,1
3684,382,1
3077,3054,1
3087,3077,1
3085,2005,1
3087,3085,3
3085,350,1
3087,418,1
3088,3106,2
3090,356,1
3088,3090,1
3088,443,1
3088,307,1
3077,3088,1
268,2010,1
3423,3574,1
3572,3560,1
152,387,4
314,3242,1
383,236,1
223,383,1
223,3263,1
3140,3155,51
3140,3147,28
3372,433,1
3140,3438,25
3372,3459,12
3671,3146,5
3140,3671,6
3305,3509,4
3140,3305,2
3156,3142,1
3151,3495,7
3156,3688,1
3140,440,2
3140,3141,2
3140,3370,3
401,356,1
3140,401,1
3156,454,2
3494,3534,4
3495,3494,4
440,167,1
3495,3499,1
3156,3243,1
3140,3285,2
3135,3165,1
3140,3135,1
3140,3148,1
3148,3147,58
3155,3459,9
3148,3285,3
3148,3305,2
3148,3145,1
3148,3141,1
3148,3495,2
3150,3168,5
3357,3383,2
3150,3357,2
3150,3356,2
3150,3350,1
3150,454,2
3148,3499,1
3150,3243,1
3147,3294,1
3148,3370,1
3148,3140,1
